OrderItemID,OrderID,MenuItemID,Quantity,Price,Subtotal,Ratings,CreatedDate,ModifiedDate
161645,76605,15766,1,280,280,5.0,2024-04-23 12:15:00,2024-06-22 16:13:11.000000
161646,76605,15771,3,104,312,5.0,2024-04-23 12:15:00,2024-06-22 16:13:11.000000
161647,76605,15767,1,122,122,5.0,2024-04-23 12:15:00,2024-06-22 16:13:11.000000
161648,76608,26310,3,240,720,5.0,2022-10-29 23:32:00,2025-01-24 04:44:09.000000
161649,76608,26317,2,204,408,1.0,2022-10-29 23:32:00,2025-01-24 04:44:09.000000
161650,76608,26312,1,199,199,5.0,2022-10-29 23:32:00,2025-01-24 04:44:09.000000
161651,76608,26313,3,365,1095,4.0,2022-10-29 23:32:00,2025-01-24 04:44:09.000000
161652,76609,13977,3,113,339,5.0,2025-04-10 07:44:00,2025-04-14 14:37:20.000000
161653,76609,13976,2,70,140,4.0,2025-04-10 07:44:00,2025-04-14 14:37:20.000000
161654,76610,17781,2,472,944,5.0,2025-01-04 20:37:00,2025-01-21 00:52:36.000000
161655,76611,13173,1,89,89,4.0,2024-12-16 01:21:00,2025-04-03 20:02:42.000000
161656,76611,13172,2,231,462,5.0,2024-12-16 01:21:00,2025-04-03 20:02:42.000000
161657,76611,13174,2,123,246,3.0,2024-12-16 01:21:00,2025-04-03 20:02:42.000000
161658,76611,13175,1,81,81,4.0,2024-12-16 01:21:00,2025-04-03 20:02:42.000000
161659,76612,13217,1,415,415,3.0,2024-12-05 21:06:00,2025-03-28 01:22:24.000000
161660,76612,13221,3,466,1398,2.0,2024-12-05 21:06:00,2025-03-28 01:22:24.000000
161661,76613,12831,3,384,1152,4.0,2024-12-07 16:54:00,2024-12-12 11:32:06.000000
161662,76613,12832,3,163,489,5.0,2024-12-07 16:54:00,2024-12-12 11:32:06.000000
161663,76614,403,2,415,830,5.0,2025-04-07 00:46:00,2025-04-12 02:29:31.000000
161664,76614,395,1,380,380,5.0,2025-04-07 00:46:00,2025-04-12 02:29:31.000000
161665,76614,401,2,173,346,5.0,2025-04-07 00:46:00,2025-04-12 02:29:31.000000
161666,76615,20240,2,88,176,5.0,2024-12-30 08:05:00,2025-02-07 20:05:10.000000
161667,76615,20232,2,137,274,5.0,2024-12-30 08:05:00,2025-02-07 20:05:10.000000
161668,76615,20238,3,170,510,2.0,2024-12-30 08:05:00,2025-02-07 20:05:10.000000
