LocationID,City,State,PinCode,ActiveFlag,CreatedDate,ModifiedDate
1,Delhi,Delhi,780487,True,2024-07-01 11:00:06,
2,Mumbai,Maharashtra,887572,False,2024-10-26 18:38:17,
3,Bangalore,Karnataka,344053,True,2025-02-22 14:03:29,
4,Hyderabad,Telangana,217473,True,2022-03-19 02:11:17,2022-11-03 23:55:40
5,Chennai,Tamil Nadu,681858,True,2024-02-11 14:23:49,
6,Kolkata,West Bengal,552417,True,2022-05-11 06:10:30,
7,Pune,Maharashtra,208246,True,2022-12-26 18:33:04,
8,Ahmedabad,Gujarat,639903,True,2022-09-14 17:19:59,2024-01-18 07:55:10
9,Jaipur,Rajasthan,698508,True,2024-02-08 09:56:19,
10,Lucknow,Uttar Pradesh,791453,True,2023-08-19 17:47:00,2024-02-29 18:48:07
11,Chandigarh,Punjab,549898,True,2024-02-26 17:38:25,
12,Bhopal,Madhya Pradesh,727889,False,2023-05-21 04:57:08,
13,Guwahati,Assam,116814,True,2023-12-16 18:35:09,2024-06-26 17:10:29
14,Kochi,Kerala,277414,True,2022-10-15 10:57:23,2022-12-15 00:16:45
15,Indore,Madhya Pradesh,466778,True,2022-12-04 11:58:35,
16,Surat,Gujarat,335772,True,2024-04-12 15:41:14,2025-03-08 16:09:41
17,Nagpur,Maharashtra,462944,True,2023-10-05 12:03:09,
18,Patna,Bihar,508382,True,2024-01-25 16:19:22,
19,Vadodara,Gujarat,998662,True,2024-05-28 05:30:22,2024-11-16 11:10:11
20,Thane,Maharashtra,387370,True,2025-01-10 06:25:52,2025-03-06 06:34:59
21,Agra,Uttar Pradesh,875179,True,2022-04-25 18:26:56,2024-03-14 15:06:18
22,Nashik,Maharashtra,240889,True,2024-01-27 02:49:03,2024-09-28 20:11:12
23,Faridabad,Haryana,506922,True,2024-08-09 10:38:51,
24,Meerut,Uttar Pradesh,417419,True,2023-08-16 09:39:12,2024-12-02 06:47:01
25,Rajkot,Gujarat,758564,True,2024-01-23 00:33:24,2024-04-24 19:14:24
26,Varanasi,Uttar Pradesh,489201,True,2024-08-21 11:49:37,2024-12-15 10:35:19
27,Srinagar,Jammu and Kashmir,848797,True,2024-04-24 11:13:35,
28,Aurangabad,Maharashtra,803384,True,2023-12-24 04:57:43,
29,Dhanbad,Jharkhand,413445,True,2024-05-29 21:22:04,2024-07-15 10:45:01
30,Amritsar,Punjab,354098,True,2024-07-29 19:56:28,2024-11-10 17:11:50
