OrderID,CustomerID,RestaurantID,OrderDate,TotalAmount,DiscountAmount,DeliveryCharges,FinalAmount,Status,PaymentMethod,IsFirstOrder,CouponCode,CreatedDate,ModifiedDate
76605,6889,1269,2024-04-23 12:15:00,714,0,0,714,Delivered,UPI,True,,2024-04-23 12:15:00,2024-06-22 16:13:11.000000
76608,8153,2105,2022-10-29 23:32:00,2422,0,0,2422,Delivered,UPI,False,,2022-10-29 23:32:00,2025-01-24 04:44:09.000000
76609,6625,1124,2025-04-10 07:44:00,479,0,43,522,Delivered,Cash,True,,2025-04-10 07:44:00,2025-04-14 14:37:20.000000
76610,6625,1428,2025-01-04 20:37:00,944,135,0,809,Delivered,UPI,False,SPECIAL_1428,2025-01-04 20:37:00,2025-01-21 00:52:36.000000
76611,6014,1058,2024-12-16 01:21:00,878,150,0,728,Delivered,CreditCard,True,SPECIAL_1058,2024-12-16 01:21:00,2025-04-03 20:02:42.000000
76612,6014,1062,2024-12-05 21:06:00,1813,205,0,1608,Delivered,CreditCard,False,WEEKEND_1062,2024-12-05 21:06:00,2025-03-28 01:22:24.000000
76613,6014,1030,2024-12-07 16:54:00,1641,0,0,1641,Delivered,UPI,False,,2024-12-07 16:54:00,2024-12-12 11:32:06.000000
76614,6101,33,2025-04-07 00:46:00,1556,275,0,1281,Delivered,UPI,True,FESTIVAL_33,2025-04-07 00:46:00,2025-04-12 02:29:31.000000
76615,2409,1625,2024-12-30 08:05:00,960,206,0,754,Delivered,UPI,True,WEEKEND_1625,2024-12-30 08:05:00,2025-02-07 20:05:10.000000
76616,2409,1610,2025-01-31 06:39:00,993,140,0,853,Canceled,UPI,False,SPECIAL_1610,2025-01-31 06:39:00,2025-02-19 18:16:45.000000
76617,12619,966,2023-06-21 06:45:00,612,84,0,528,Delivered,UPI,True,UPISAVE_966,2023-06-21 06:45:00,2023-08-09 16:48:46.000000
76619,8589,1026,2025-03-20 17:29:00,2223,0,0,2223,Delivered,Cash,True,,2025-03-20 17:29:00,2025-03-26 18:54:59.000000
76620,8589,1034,2025-03-05 00:23:00,810,0,0,810,Delivered,Cash,False,,2025-03-05 00:23:00,2025-03-25 02:16:56.000000
76626,12822,2632,2024-11-19 16:31:00,954,155,0,799,Delivered,UPI,True,SPECIAL_2632,2024-11-19 16:31:00,2024-12-13 02:51:35.000000
76627,12822,2583,2024-09-15 20:16:00,2662,201,0,2461,Delivered,UPI,False,WEEKEND_2583,2024-09-15 20:16:00,2024-12-05 14:08:47.000000
