MenuID,RestaurantID,ItemName,Description,Price,Category,Availability,ItemType,CreatedDate,ModifiedDate
1,1,Kachori,Delicious and authentic Kachori.,205,Snacks,True,Veg,2023-02-26 19:23:40,2023-08-25 05:11:13
2,1,Fish Fry,Traditional Indian Fish Fry with rich flavors.,193,Appetizers,True,Non-Veg,2023-03-08 12:59:47,2024-04-05 19:32:36
3,1,Gajar Halwa,A popular Indian dish.,213,Desserts,True,Veg,2022-08-08 12:06:12,2024-04-13 15:11:31
4,1,Chicken Tikka,Delicious and authentic Chicken Tikka.,50,Appetizers,True,Non-Veg,2022-06-10 13:09:24,2023-06-05 22:36:24
5,1,Spring Rolls,A popular Indian dish.,196,Appetizers,True,Veg,2023-12-15 01:28:58,2024-02-01 20:36:52
6,1,Fruit Juice,Classic Fruit Juice with a twist.,101,Beverages,True,Veg,2022-05-31 21:19:07,2024-10-26 21:51:46
7,1,Nimbu Pani,Traditional Indian Nimbu Pani with rich flavors.,301,Beverages,True,Veg,2023-03-04 13:26:45,2023-09-09 02:32:22
8,1,Ras Malai,Traditional Indian Ras Malai with rich flavors.,107,Desserts,True,Veg,2024-02-24 23:04:18,2024-08-10 03:21:51
9,1,Samosa,Classic Samosa with a twist.,444,Appetizers,True,Veg,2022-08-13 06:17:02,2024-04-19 00:41:23
10,1,Rogan Josh,Traditional Indian Rogan Josh with rich flavors.,429,Main Course,True,Non-Veg,2023-03-20 00:57:03,2024-06-12 22:06:24
11,2,Dabeli,Classic Dabeli with a twist.,240,Snacks,True,Veg,2022-06-08 13:35:04,2023-07-10 08:45:36
12,2,Biryani,A popular Indian dish.,349,Main Course,True,Non-Veg,2023-12-08 18:14:44,2025-01-06 04:18:51
13,2,Lassi,Delicious and authentic Lassi.,116,Beverages,True,Veg,2022-12-30 10:27:34,2024-10-04 06:05:53
14,2,Bhel Puri,Delicious and authentic Bhel Puri.,350,Snacks,True,Veg,2022-07-14 01:49:22,2022-11-30 23:21:53
15,2,Chole Bhature,A must-try Chole Bhature from India.,100,Main Course,True,Veg,2023-09-26 06:16:42,2023-10-21 05:23:52
16,2,Chicken Wings,Classic Chicken Wings with a twist.,225,Appetizers,True,Non-Veg,2023-08-22 20:59:50,2024-01-16 04:53:31
17,2,Mysore Pak,A popular Indian dish.,323,Desserts,True,Veg,2024-03-02 20:09:33,2024-09-28 21:21:28
18,2,Butter Chicken,A popular Indian dish.,148,Main Course,True,Non-Veg,2023-07-29 01:52:40,2024-02-22 21:40:39
19,2,Thandai,Traditional Indian Thandai with rich flavors.,499,Beverages,True,Veg,2023-12-16 09:23:26,2024-07-29 05:43:54
20,2,Dhokla,Traditional Indian Dhokla with rich flavors.,279,Snacks,True,Veg,2022-04-05 21:35:12,2024-03-07 07:21:10
21,2,Hara Bhara Kebab,Delicious and authentic Hara Bhara Kebab.,297,Appetizers,True,Veg,2022-03-15 18:18:32,2022-09-19 22:11:38
22,2,Masala Chai,A popular Indian dish.,356,Beverages,True,Veg,2023-05-02 00:18:31,2024-09-24 05:43:09
23,3,Biryani,Delicious and authentic Biryani.,339,Main Course,True,Non-Veg,2023-03-16 23:33:15,2024-12-16 22:14:11
24,3,Aloo Tikki,A must-try Aloo Tikki from India.,303,Appetizers,True,Veg,2022-11-05 13:24:46,2023-04-18 12:24:46
25,3,Dabeli,Delicious and authentic Dabeli.,134,Snacks,True,Veg,2023-12-02 22:00:53,2024-07-04 06:30:07
26,3,Thandai,A must-try Thandai from India.,337,Beverages,True,Veg,2022-06-12 18:18:41,2023-12-09 19:04:22
27,3,Aam Panna,Classic Aam Panna with a twist.,189,Beverages,True,Veg,2022-04-06 14:39:37,2023-12-26 15:37:58
