RestaurantID,Name,CuisineType,Pricing_for_2,Restaurant_Phone,OperatingHours,LocationID,ActiveFlag,OpenStatus,Locality,Restaurant_Address,Latitude,Longitude,CreatedDate,ModifiedDate
1,Spice Kitchen,"Japanese, Thai, Pizza",485,9890779946,7:00 AM - 22:00 PM,1,Yes,Open,Behl Circle," Behl Circle, Delhi - 780487",10.938613912778951,80.74586795201448,2023-05-08 16:08:04,2024-11-19 07:00:07
2,Royal Bistro,Thai,1234,9746412689,7:00 AM - 21:00 PM,1,No,Closed,Nayar Ganj,"First Floor, Nayar Ganj, Delhi - 780487",29.307772697334187,88.72282799600123,2022-05-02 09:11:33,2023-05-30 19:56:41
3,Blue Cafe,"Pizza, Japanese",1857,9106977991,8:00 AM - 22:00 PM,1,Yes,Open,Goyal Road,"Third Floor, Goyal Road, Delhi - 780487",18.335315082325366,73.13893971962636,2023-12-09 11:24:19,2024-06-25 10:52:12
4,Crystal Eatery,Chinese,978,9203848421,9:00 AM - 23:00 PM,1,Yes,Open,Mukherjee Street,"Second Floor, Mukherjee Street, Delhi - 780487",26.02880011591322,91.74351220198355,2022-06-07 01:25:51,2024-05-14 01:16:33
5,Emerald Bites,"Italian, Desserts, Chinese",1330,9414797776,12:00 AM - 21:00 PM,1,Yes,Open,Badami Marg,"Second Floor, Badami Marg, Delhi - 780487",25.25868264149745,88.81552592393606,2022-11-16 19:33:26,2024-09-07 04:16:36
6,Royal House,Lebanese,363,9349957310,7:00 AM - 20:00 PM,1,Yes,Open,Arya Circle,"Second Floor, Arya Circle, Delhi - 780487",21.63958082915832,92.51385268059342,2023-09-12 21:16:57,2024-09-27 10:26:04
7,Taste Eatery,"Mexican, Japanese",1637,9833953718,12:00 AM - 17:00 PM,1,Yes,Open,Chawla," Chawla, Delhi - 780487",26.941366015354163,83.94969348919817,2022-12-29 11:22:02,2024-07-26 23:16:05
8,Flavors Restaurant,"Desserts, Japanese",1510,9838908273,11:00 AM - 18:00 PM,1,Yes,Open,Balakrishnan Street,"Second Floor, Balakrishnan Street, Delhi - 780487",33.01127606954244,90.8547974746453,2022-10-11 01:45:12,2022-12-11 09:42:42
9,Flavors Junction,Mughlai,1021,9387484583,7:00 AM - 18:00 PM,1,Yes,Open,Madan Road," Madan Road, Delhi - 780487",33.989934693001935,77.68405349679655,2022-08-19 22:47:00,2022-09-19 14:20:35
10,Diamond Bites,"Fast Food, Continental",742,9249926919,8:00 AM - 22:00 PM,1,Yes,Open,Padmanabhan Marg," Padmanabhan Marg, Delhi - 780487",24.13813685828488,90.02724432267196,2023-11-26 14:06:45,2024-08-03 17:41:02
11,Blue Hub,"Desserts, Street Food, Thai",483,9647099690,10:00 AM - 17:00 PM,1,Yes,Open,Garg Street,"Ground Floor, Garg Street, Delhi - 780487",33.54420496226665,73.06361966739286,2022-11-13 02:07:05,2023-07-03 22:28:47
12,Taste Corner,"Beverages, Chinese, Desserts",981,9739830322,10:00 AM - 21:00 PM,1,No,Closed,Jani Chowk,"Second Floor, Jani Chowk, Delhi - 780487",36.75548862631765,93.27526049879492,2023-11-01 16:54:51,2023-12-03 00:29:16
