MenuItemID,RestaurantID,ItemName,Description,Price,Category,Availability,ItemType,Ratings,CreatedDate,ModifiedDate
369,31,Paneer Tikka,A popular Indian dish.,419,Appetizers,True,Veg,3.3,2025-04-15 17:44:00,2025-04-16 22:42:49.000000
370,31,Hara Bhara Kebab,Delicious and authentic Hara Bhara Kebab.,187,Appetizers,True,Veg,4.0,2025-05-24 10:33:22,2025-05-24 10:33:22.174235
371,31,Momos,Delicious and authentic Momos.,454,Chinese & Indo-Chinese,True,Veg,1.0,2025-05-08 02:03:20,2025-05-08 02:03:20.336210
372,31,Mirchi Bajji,Classic Mirchi Bajji with a twist.,480,Snacks & Street Food,True,Veg,3.0,2025-04-17 00:51:02,2025-04-23 03:58:27.000000
373,31,Samosa,Delicious and authentic Samosa.,116,Appetizers,True,Veg,2.0,2025-05-29 20:13:44,2025-05-29 20:13:44.150985
374,31,Sindhi Kadhi,Traditional Indian Sindhi Kadhi with rich flavors.,149,Main Course,True,Veg,4.3,2025-04-23 02:03:44,2025-04-23 14:27:56.000000
375,31,Tomato Uttapam,Classic Tomato Uttapam with a twist.,328,South Indian,True,Veg,5.0,2025-04-28 18:16:10,2025-04-28 18:16:10.365126
376,31,Farmhouse Pizza,Classic Farmhouse Pizza with a twist.,363,Italian & Continental,True,Veg,5.0,2025-05-09 02:30:56,2025-05-09 02:30:56.427054
377,31,Modak,Traditional Indian Modak with rich flavors.,55,Desserts,True,Veg,5.0,2025-05-07 14:05:43,2025-05-07 14:05:43.960995
378,31,Coconut Water,A must-try Coconut Water from India.,112,Beverages,True,Veg,1.2,2025-04-20 11:04:35,2025-04-21 00:55:36.000000
379,31,Paneer Butter Masala,A must-try Paneer Butter Masala from India.,152,Main Course,True,Veg,4.8,2025-05-06 13:57:55,2025-05-06 13:57:55.247582
390,33,Bhel Puri,Delicious and authentic Bhel Puri.,53,Snacks & Street Food,True,Veg,3.1,2024-12-21 09:23:32,2025-04-05 17:08:27.000000
391,33,Peda,Traditional Indian Peda with rich flavors.,78,Desserts,True,Veg,4.1,2024-12-05 04:57:36,2024-12-21 10:55:12.000000
392,33,Aam Panna,Traditional Indian Aam Panna with rich flavors.,370,Beverages,True,Veg,4.2,2025-01-20 06:53:58,2025-03-26 13:53:22.000000
393,33,Chana Chaat,A popular Indian dish.,392,Snacks & Street Food,True,Veg,2.3,2025-01-22 02:13:45,2025-02-14 00:00:01.000000
394,33,Crispy Honey Chilli Potatoes,Delicious and authentic Crispy Honey Chilli Potatoes.,145,Chinese & Indo-Chinese,True,Veg,3.9,2024-12-03 14:03:39,2024-12-29 23:22:28.000000
