OrderItemID,OrderID,MenuID,Quantity,Price,Subtotal,CreatedDate,ModifiedDate
1,1,11109,1,209,209,2025-03-05 03:18:14,2025-03-05 05:10:07
2,2,11217,1,84,84,2025-03-03 20:56:58,2025-03-04 19:17:58
3,2,11223,3,316,948,2025-03-03 20:56:58,2025-03-04 19:17:58
4,2,11216,2,292,584,2025-03-03 20:56:58,2025-03-04 19:17:58
5,2,11222,2,357,714,2025-03-03 20:56:58,2025-03-04 19:17:58
6,2,11218,2,90,180,2025-03-03 20:56:58,2025-03-04 19:17:58
7,3,3265,2,434,868,2025-01-28 00:52:48,2025-02-27 20:15:18
8,3,3262,1,469,469,2025-01-28 00:52:48,2025-02-27 20:15:18
9,3,3253,1,137,137,2025-01-28 00:52:48,2025-02-27 20:15:18
10,3,3261,3,275,825,2025-01-28 00:52:48,2025-02-27 20:15:18
11,4,6852,3,301,903,2024-12-07 09:10:23,2024-12-29 09:24:53
12,4,6854,2,71,142,2024-12-07 09:10:23,2024-12-29 09:24:53
13,4,6853,1,91,91,2024-12-07 09:10:23,2024-12-29 09:24:53
14,4,6847,3,163,489,2024-12-07 09:10:23,2024-12-29 09:24:53
15,4,6850,2,99,198,2024-12-07 09:10:23,2024-12-29 09:24:53
16,5,10738,1,339,339,2025-02-23 17:48:42,2025-03-04 00:23:28
17,6,6969,1,399,399,2024-12-12 02:39:28,2024-12-29 15:13:28
18,6,6965,3,395,1185,2024-12-12 02:39:28,2024-12-29 15:13:28
19,6,6967,3,274,822,2024-12-12 02:39:28,2024-12-29 15:13:28
20,7,7166,3,472,1416,2025-01-15 09:00:34,2025-02-15 00:09:31
21,7,7165,2,399,798,2025-01-15 09:00:34,2025-02-15 00:09:31
22,7,7161,3,287,861,2025-01-15 09:00:34,2025-02-15 00:09:31
23,8,7195,2,289,578,2025-02-13 10:58:42,2025-02-19 07:46:34
24,8,7196,1,104,104,2025-02-13 10:58:42,2025-02-19 07:46:34
25,8,7205,1,164,164,2025-02-13 10:58:42,2025-02-19 07:46:34
26,8,7207,1,145,145,2025-02-13 10:58:42,2025-02-19 07:46:34
27,8,7206,3,75,225,2025-02-13 10:58:42,2025-02-19 07:46:34
28,9,6043,2,70,140,2025-02-20 19:57:58,2025-02-26 15:09:49
29,9,6045,2,167,334,2025-02-20 19:57:58,2025-02-26 15:09:49
30,9,6051,1,300,300,2025-02-20 19:57:58,2025-02-26 15:09:49
31,9,6048,3,82,246,2025-02-20 19:57:58,2025-02-26 15:09:49
32,9,6044,1,153,153,2025-02-20 19:57:58,2025-02-26 15:09:49
33,10,6265,2,227,454,2025-03-02 14:25:57,2025-03-04 02:37:12
34,10,6263,2,266,532,2025-03-02 14:25:57,2025-03-04 02:37:12
35,11,6275,1,304,304,2024-12-12 01:35:35,2024-12-29 10:55:03
36,11,6277,1,202,202,2024-12-12 01:35:35,2024-12-29 10:55:03
37,12,6057,3,115,345,2024-12-19 14:05:44,2025-02-02 05:49:19
38,12,6062,3,411,1233,2024-12-19 14:05:44,2025-02-02 05:49:19
39,12,6056,1,205,205,2024-12-19 14:05:44,2025-02-02 05:49:19
40,12,6059,2,264,528,2024-12-19 14:05:44,2025-02-02 05:49:19
41,13,6174,2,274,548,2025-02-23 17:55:08,2025-03-02 13:39:42
42,14,7569,1,480,480,2025-02-02 15:15:33,2025-03-01 10:22:59
43,14,7575,1,123,123,2025-02-02 15:15:33,2025-03-01 10:22:59
44,14,7572,1,183,183,2025-02-02 15:15:33,2025-03-01 10:22:59
45,14,7570,3,339,1017,2025-02-02 15:15:33,2025-03-01 10:22:59
46,15,5545,1,144,144,2024-12-21 04:14:46,2024-12-25 02:09:26
47,15,5542,2,105,210,2024-12-21 04:14:46,2024-12-25 02:09:26
48,15,5535,3,174,522,2024-12-21 04:14:46,2024-12-25 02:09:26
49,15,5536,3,186,558,2024-12-21 04:14:46,2024-12-25 02:09:26
50,15,5537,2,144,288,2024-12-21 04:14:46,2024-12-25 02:09:26
51,16,7509,1,420,420,2025-02-16 08:46:11,2025-03-03 18:11:09
52,16,7506,3,294,882,2025-02-16 08:46:11,2025-03-03 18:11:09
53,16,7513,2,112,224,2025-02-16 08:46:11,2025-03-03 18:11:09
54,17,10132,1,334,334,2024-12-23 12:49:55,2025-02-11 12:16:49
55,17,10136,1,232,232,2024-12-23 12:49:55,2025-02-11 12:16:49
56,17,10129,2,290,580,2024-12-23 12:49:55,2025-02-11 12:16:49
57,17,10135,2,103,206,2024-12-23 12:49:55,2025-02-11 12:16:49
58,18,6156,1,94,94,2024-12-28 04:03:42,2025-01-16 17:41:38
59,18,6160,2,354,708,2024-12-28 04:03:42,2025-01-16 17:41:38
60,18,6165,3,238,714,2024-12-28 04:03:42,2025-01-16 17:41:38
61,18,6159,2,369,738,2024-12-28 04:03:42,2025-01-16 17:41:38
62,19,1973,3,379,1137,2025-02-14 10:37:22,2025-02-20 03:27:10
63,19,1963,3,475,1425,2025-02-14 10:37:22,2025-02-20 03:27:10
64,20,6140,3,362,1086,2025-02-10 12:35:41,2025-03-01 22:12:55
65,20,6133,3,191,573,2025-02-10 12:35:41,2025-03-01 22:12:55
66,20,6126,2,253,506,2025-02-10 12:35:41,2025-03-01 22:12:55
67,20,6130,1,290,290,2025-02-10 12:35:41,2025-03-01 22:12:55
68,21,7233,3,488,1464,2024-12-23 01:00:12,2024-12-27 01:31:35
69,21,7232,1,267,267,2024-12-23 01:00:12,2024-12-27 01:31:35
70,22,9783,1,138,138,2025-02-25 02:20:09,2025-03-05 01:11:35
71,22,9777,3,160,480,2025-02-25 02:20:09,2025-03-05 01:11:35
72,23,7142,1,229,229,2025-02-12 14:17:03,2025-02-13 18:08:26
73,23,7130,3,240,720,2025-02-12 14:17:03,2025-02-13 18:08:26
74,23,7141,3,344,1032,2025-02-12 14:17:03,2025-02-13 18:08:26
75,23,7139,2,246,492,2025-02-12 14:17:03,2025-02-13 18:08:26
76,24,7167,2,340,680,2025-02-01 11:22:37,2025-02-15 07:59:47
77,24,7164,1,451,451,2025-02-01 11:22:37,2025-02-15 07:59:47
78,24,7160,1,207,207,2025-02-01 11:22:37,2025-02-15 07:59:47
79,25,8858,1,277,277,2025-02-21 23:10:16,2025-02-23 11:00:12
80,25,8866,1,350,350,2025-02-21 23:10:16,2025-02-23 11:00:12
81,25,8867,2,384,768,2025-02-21 23:10:16,2025-02-23 11:00:12
82,25,8861,1,130,130,2025-02-21 23:10:16,2025-02-23 11:00:12
83,25,8857,2,442,884,2025-02-21 23:10:16,2025-02-23 11:00:12
84,26,3623,1,306,306,2025-01-09 08:32:55,2025-01-20 10:59:51
85,26,3622,2,260,520,2025-01-09 08:32:55,2025-01-20 10:59:51
86,26,3627,1,125,125,2025-01-09 08:32:55,2025-01-20 10:59:51
87,26,3618,2,292,584,2025-01-09 08:32:55,2025-01-20 10:59:51
88,27,3498,2,124,248,2025-02-16 06:16:23,2025-02-20 18:02:05
89,28,7574,2,354,708,2025-02-23 12:49:51,2025-02-25 05:46:31
90,29,9698,1,226,226,2024-12-14 15:18:17,2025-03-04 01:48:38
91,29,9695,2,142,284,2024-12-14 15:18:17,2025-03-04 01:48:38
92,29,9689,1,238,238,2024-12-14 15:18:17,2025-03-04 01:48:38
93,29,9696,1,245,245,2024-12-14 15:18:17,2025-03-04 01:48:38
94,29,9688,2,131,262,2024-12-14 15:18:17,2025-03-04 01:48:38
95,30,8483,2,435,870,2024-12-19 03:39:50,2025-02-13 14:27:55
96,31,8264,3,389,1167,2025-02-17 19:22:25,2025-03-04 11:26:28
97,31,8266,3,187,561,2025-02-17 19:22:25,2025-03-04 11:26:28
98,31,8265,1,366,366,2025-02-17 19:22:25,2025-03-04 11:26:28
99,31,8260,2,391,782,2025-02-17 19:22:25,2025-03-04 11:26:28
100,32,8515,3,463,1389,2025-01-27 14:42:09,2025-02-15 21:01:15
101,32,8512,3,408,1224,2025-01-27 14:42:09,2025-02-15 21:01:15
102,32,8510,2,431,862,2025-01-27 14:42:09,2025-02-15 21:01:15
103,32,8513,3,75,225,2025-01-27 14:42:09,2025-02-15 21:01:15
104,33,4219,2,306,612,2024-12-23 11:56:48,2024-12-24 08:36:41
105,34,8464,1,345,345,2025-01-01 11:34:15,2025-02-04 06:04:19
106,34,8463,1,153,153,2025-01-01 11:34:15,2025-02-04 06:04:19
107,34,8470,3,461,1383,2025-01-01 11:34:15,2025-02-04 06:04:19
108,34,8465,1,234,234,2025-01-01 11:34:15,2025-02-04 06:04:19
109,34,8462,3,370,1110,2025-01-01 11:34:15,2025-02-04 06:04:19
110,35,7097,2,428,856,2025-03-02 07:38:29,2025-03-05 00:29:01
111,36,6933,1,182,182,2025-02-21 02:58:40,2025-03-01 11:31:02
112,36,6925,2,490,980,2025-02-21 02:58:40,2025-03-01 11:31:02
113,36,6927,1,64,64,2025-02-21 02:58:40,2025-03-01 11:31:02
