LoginID,CustomerID,LoginType,DeviceInterface,MobileDeviceName,WebInterface,LastLogin
1,14740,App,Android,Oppo,,2023-05-05 12:21:42
2,5637,Web,,,Chrome,2023-08-27 08:50:10
3,16893,Web,,,Edge,2025-02-17 08:36:56
4,12313,App,iOS,iPhone,,2024-01-05 01:14:45
5,7665,App,iOS,iPhone,,2022-03-11 12:59:52
6,19566,App,Android,Vivo,,2024-12-16 11:44:48
7,3224,App,Android,Realme,,2024-12-30 18:40:51
8,19934,App,Android,Xiaomi,,2023-01-07 15:11:57
9,2528,App,Android,Vivo,,2021-08-14 23:15:13
10,5516,App,Android,OnePlus,,2023-02-27 02:41:38
11,10623,App,Android,Realme,,2024-01-09 15:26:39
12,14191,App,Android,OnePlus,,2023-10-14 17:42:56
13,6820,App,Android,Vivo,,2024-06-05 05:05:24
14,15408,App,Android,Oppo,,2024-05-11 07:13:45
15,16429,App,iOS,iPhone,,2025-01-25 18:59:00
16,17098,App,Android,Samsung Galaxy,,2021-03-24 14:59:46
17,4999,App,Android,Xiaomi,,2023-11-19 19:33:16
18,3402,Web,,,Opera,2025-04-14 14:19:52
19,15058,App,Android,Oppo,,2023-03-20 00:52:11
20,15991,App,Android,Oppo,,2024-07-20 02:34:20
21,1929,App,Android,Realme,,2021-09-10 00:18:34
22,4600,Web,,,Opera,2023-06-08 20:47:30
23,4338,Web,,,Safari,2025-01-07 03:38:57
24,13013,App,Android,OnePlus,,2024-02-23 15:25:58
25,15448,App,Android,Xiaomi,,2024-08-29 18:51:15
26,12404,App,iOS,iPhone,,2025-01-09 09:21:36
27,5784,App,Android,Oppo,,2022-09-06 13:15:52
28,12238,App,Android,Samsung Galaxy,,2024-07-15 15:58:42
29,7492,App,Android,Samsung Galaxy,,2025-02-09 12:34:57
30,7316,App,iOS,iPhone,,2025-04-06 12:00:06
31,13890,App,iOS,iPhone,,2024-01-15 10:07:15
32,11502,App,Android,OnePlus,,2024-08-18 07:15:02
33,8038,Web,,,Safari,2025-01-04 19:36:44
34,6216,App,iOS,iPhone,,2020-09-27 21:10:55
35,8153,App,Android,Samsung Galaxy,,2021-07-22 05:25:44
36,4516,App,Android,OnePlus,,2020-12-10 12:56:52
37,8198,App,Android,Vivo,,2022-06-09 22:05:07
38,3220,App,Android,Samsung Galaxy,,2024-11-13 09:32:17
39,2388,App,iOS,iPhone,,2023-05-20 07:38:50
40,15738,App,Android,Vivo,,2023-01-04 11:47:50
41,13560,App,iOS,iPhone,,2023-11-18 13:02:15
42,15042,App,Android,Oppo,,2024-01-30 13:13:20
43,6536,App,iOS,iPhone,,2024-04-13 18:14:42
44,3333,App,Android,OnePlus,,2024-04-20 04:21:25
45,16254,App,Android,OnePlus,,2025-02-01 14:35:17
46,14746,App,Android,Vivo,,2023-04-30 21:43:52
47,5258,App,Android,Samsung Galaxy,,2022-07-06 04:57:14
48,5132,App,Android,Oppo,,2022-02-05 08:44:26
49,4048,App,Android,Realme,,2024-08-13 09:41:37
50,7264,Web,,,Firefox,2023-06-13 03:08:51
51,3573,App,iOS,iPhone,,2024-06-26 04:33:28
52,7823,Web,,,Edge,2024-07-21 11:22:40
53,1546,App,Android,Samsung Galaxy,,2023-10-22 04:02:39
54,7198,App,Android,Oppo,,2024-08-29 18:54:41
55,10146,App,Android,Vivo,,2023-06-08 09:52:59
56,18818,App,iOS,iPhone,,2025-04-09 04:46:33
57,16607,App,Android,OnePlus,,2024-08-25 18:13:58
58,7650,Web,,,Edge,2022-05-01 09:55:28
59,11781,App,Android,Samsung Galaxy,,2025-04-14 01:17:30
60,8180,App,iOS,iPhone,,2022-04-28 09:33:44
61,15952,App,Android,Oppo,,2023-03-29 22:16:35
62,15266,App,Android,OnePlus,,2024-08-24 02:35:31
63,19031,App,Android,Samsung Galaxy,,2025-03-19 18:42:42
64,17131,App,Android,Oppo,,2024-01-19 08:03:34
65,8906,App,Android,Vivo,,2022-06-10 11:41:21
66,15770,App,Android,OnePlus,,2022-06-23 10:20:16
67,5348,App,iOS,iPhone,,2023-11-15 14:03:14
68,3315,App,Android,Samsung Galaxy,,2024-08-14 01:27:20
69,14436,App,iOS,iPhone,,2022-08-26 04:29:29
70,18008,App,iOS,iPhone,,2022-09-03 06:06:01
71,13449,App,Android,OnePlus,,2024-08-31 06:40:09
72,2126,App,iOS,iPhone,,2025-03-09 15:56:31
73,7950,App,iOS,iPhone,,2022-11-26 15:46:59
74,17983,App,Android,Vivo,,2025-02-05 17:34:09
75,11093,App,Android,Samsung Galaxy,,2024-11-09 03:14:35
76,13562,App,Android,Oppo,,2022-04-06 10:22:42
77,1282,App,Android,Oppo,,2025-01-23 04:57:59
78,6364,App,Android,OnePlus,,2024-12-20 20:13:14
79,17902,App,iOS,iPhone,,2025-03-03 14:53:01
80,16335,App,Android,Xiaomi,,2023-11-25 22:31:34
81,8731,App,Android,Vivo,,2025-01-30 13:45:28
82,3972,App,iOS,iPhone,,2025-03-26 04:42:40
83,7941,App,Android,Xiaomi,,2024-07-03 09:57:16
84,18415,App,Android,Oppo,,2024-10-13 22:21:42
85,2869,App,Android,Xiaomi,,2025-01-16 03:45:03
86,15960,App,Android,Realme,,2025-04-09 12:01:47
87,10458,App,iOS,iPhone,,2023-09-08 20:05:05
88,1958,App,iOS,iPhone,,2022-08-07 10:26:21
89,8890,App,Android,Realme,,2024-12-06 10:28:00
90,14946,App,iOS,iPhone,,2025-02-16 05:21:22
91,18172,App,Android,Vivo,,2025-04-01 14:59:09
92,17401,App,Android,Xiaomi,,2022-05-09 14:19:06
93,9461,Web,,,Firefox,2024-09-23 23:52:00
94,3787,App,Android,Xiaomi,,2023-03-31 03:54:44
95,3987,App,Android,Oppo,,2024-04-09 18:10:04
96,19903,Web,,,Safari,2024-04-18 15:45:00
97,18148,App,Android,Oppo,,2024-07-04 14:01:15
98,14817,Web,,,Safari,2024-01-11 14:03:02
99,13134,App,Android,OnePlus,,2024-01-10 07:36:28
100,7465,Web,,,Opera,2025-03-23 01:22:55
101,5714,App,Android,Samsung Galaxy,,2023-07-28 18:43:53
102,13435,App,Android,Realme,,2022-12-17 10:58:32
103,10067,App,Android,Samsung Galaxy,,2022-10-23 23:00:16
104,258,App,Android,Oppo,,2024-12-20 09:33:53
105,17239,App,iOS,iPhone,,2024-11-09 16:47:59
106,5460,App,Android,Realme,,2024-06-15 10:22:38
107,892,App,Android,Xiaomi,,2024-01-12 16:37:26
108,4940,App,Android,Vivo,,2025-04-12 18:44:29
109,3525,App,iOS,iPhone,,2024-12-04 13:30:26
110,5111,App,Android,Vivo,,2024-11-26 13:59:08
111,9617,App,Android,Realme,,2025-02-23 09:28:36
112,6581,App,Android,Oppo,,2024-05-14 14:33:44
113,358,App,iOS,iPhone,,2024-08-18 03:05:49
114,19547,App,Android,Xiaomi,,2025-03-18 02:34:48
115,7079,App,Android,Xiaomi,,2023-12-12 15:40:56
116,2616,App,Android,Realme,,2024-05-17 10:55:31
117,19542,App,Android,Oppo,,2023-11-25 09:29:06
118,5671,App,Android,Vivo,,2024-06-10 08:29:12
